WetPeriod,Station,Start of Wetting Period,End of Wetting Period,Duration (Hrs.),Avg. Temp(F),Rainfall (in.),Anthracnose risk,Wet hrs @ avg temp required for infection,Progress toward infection
74,East Lansing (MSUHort),5/5/2016 22:30,5/6/2016 7:30,9.1,44.1,0,None,25.2,35%
75,East Lansing (MSUHort),5/6/2016 22:40,5/7/2016 1:30,2.9,50.8,0,None,19.8,15%
76,East Lansing (MSUHort),5/7/2016 9:40,5/7/2016 9:40,0.1,63.8,0,None,13,1%
77,East Lansing (MSUHort),5/8/2016 4:25,5/8/2016 6:15,1.9,38.5,0,None,0,1%
78,East Lansing (MSUHort),5/9/2016 0:20,5/9/2016 6:45,6.5,40,0,None,34.8,9%
79,East Lansing (MSUHort),5/10/2016 2:05,5/10/2016 4:45,2.8,49,0.01,None,20.4,13%
80,East Lansing (MSUHort),5/10/2016 9:25,5/10/2016 22:20,13,48.7,0.35,None,21.2,67%
81,East Lansing (MSUHort),5/11/2016 20:50,5/12/2016 8:15,11.5,57.8,0,None,15.8,74%
82,East Lansing (MSUHort),5/12/2016 10:15,5/12/2016 10:15,0.1,69.1,0,None,10.3,1%
83,East Lansing (MSUHort),5/12/2016 15:25,5/13/2016 6:30,15.2,57.8,0.27,None,15.8,99%
84,East Lansing (MSUHort),5/13/2016 21:30,5/14/2016 7:15,9.8,47.6,0.51,None,22,44%
85,East Lansing (MSUHort),5/14/2016 14:10,5/14/2016 14:45,0.7,42.7,0.01,None,30,2%
86,East Lansing (MSUHort),5/15/2016 11:20,5/15/2016 11:20,0.1,37.6,0.01,None,0,0%
87,East Lansing (MSUHort),5/16/2016 21:00,5/16/2016 21:00,0.1,59.9,0,None,14.8,1%
88,East Lansing (MSUHort),5/16/2016 23:05,5/17/2016 6:10,7.2,47.8,0,None,22,37%
89,East Lansing (MSUHort),5/18/2016 1:20,5/18/2016 6:45,5.5,38.9,0,None,0,6%
90,East Lansing (MSUHort),5/18/2016 21:45,5/19/2016 6:45,9.1,41,0,None,32.4,18%
91,East Lansing (MSUHort),5/20/2016 0:05,5/20/2016 6:40,6.7,45.6,0,None,23.6,27%
92,East Lansing (MSUHort),5/21/2016 23:05,5/22/2016 1:30,2.5,50.7,0,None,19.8,13%
93,East Lansing (MSUHort),5/22/2016 22:55,5/23/2016 6:20,7.5,42,0,None,30,18%
94,East Lansing (MSUHort),5/23/2016 23:10,5/24/2016 6:25,7.3,46.5,0,None,22.8,32%
95,East Lansing (MSUHort),5/26/2016 0:20,5/26/2016 7:20,7.1,64.6,0.14,None,12.6,58%
96,East Lansing (MSUHort),5/27/2016 0:15,5/27/2016 7:25,7.3,63.3,0,None,13,56%
97,East Lansing (MSUHort),5/28/2016 3:15,5/28/2016 9:15,6.1,51.3,0.02,None,19.2,59%
98,East Lansing (MSUHort),5/28/2016 20:05,5/28/2016 20:55,0.9,76.7,0,None,7.3,12%
99,East Lansing (MSUHort),5/28/2016 23:50,5/29/2016 3:40,3.9,61.7,0,None,13.9,40%
100,East Lansing (MSUHort),5/29/2016 22:55,5/30/2016 6:10,7.3,59.6,0,None,14.8,50%
101,East Lansing (MSUHort),5/30/2016 22:55,5/31/2016 6:45,7.9,54.9,0,None,17.5,46%
102,East Lansing (MSUHort),6/1/2016 7:35,6/1/2016 8:45,1.3,46,0,None,22.8,9%
103,East Lansing (MSUHort),6/1/2016 16:10,6/1/2016 17:20,1.3,68.2,0,None,10.8,15%
104,East Lansing (MSUHort),6/1/2016 21:10,6/2/2016 6:30,9.4,61.8,0,None,13.9,68%
105,East Lansing (MSUHort),6/2/2016 22:35,6/3/2016 6:10,7.7,52.1,0,None,18.6,41%
106,East Lansing (MSUHort),6/3/2016 23:45,6/4/2016 4:35,4.9,57.6,0,None,15.8,31%
107,East Lansing (MSUHort),6/4/2016 16:05,6/5/2016 9:35,17.6,65,0.28,Moderate,12.1,143%
108,East Lansing (MSUHort),6/5/2016 22:10,6/6/2016 6:25,8.3,58,0.03,None,15.3,54%
109,East Lansing (MSUHort),6/6/2016 13:25,6/6/2016 13:30,0.2,73.8,0,None,8.6,2%
110,East Lansing (MSUHort),6/6/2016 15:40,6/6/2016 15:45,0.2,66.1,0,None,11.7,1%
111,East Lansing (MSUHort),6/7/2016 2:10,6/7/2016 6:10,4.1,52.8,0,None,18.6,22%
112,East Lansing (MSUHort),6/8/2016 0:20,6/8/2016 6:40,6.4,46.9,0,None,22.8,29%
113,East Lansing (MSUHort),6/8/2016 23:10,6/9/2016 6:25,7.3,44.1,0,None,25.2,28%
114,East Lansing (MSUHort),6/9/2016 23:55,6/10/2016 6:20,6.5,54.7,0,None,17.5,38%
115,East Lansing (MSUHort),6/13/2016 1:05,6/13/2016 6:05,5.1,48.1,0,None,21.2,24%
116,East Lansing (MSUHort),6/13/2016 13:50,6/13/2016 14:15,0.5,68.8,0,None,10.8,5%
117,East Lansing (MSUHort),6/13/2016 19:30,6/13/2016 20:30,1.1,56.3,0.01,None,16.4,9%
118,East Lansing (MSUHort),6/14/2016 8:05,6/14/2016 9:20,1.3,56.9,0.01,None,16.4,9%
119,East Lansing (MSUHort),6/15/2016 5:20,6/15/2016 7:55,2.7,46.8,0.06,None,22.8,20%
120,East Lansing (MSUHort),6/15/2016 22:25,6/16/2016 17:45,19.4,64.8,0.3,Moderate,12.6,174%
121,East Lansing (MSUHort),6/17/2016 3:30,6/17/2016 7:45,4.3,56.4,0,None,16.4,26%
122,East Lansing (MSUHort),6/17/2016 23:45,6/18/2016 7:50,8.2,57.1,0,None,15.8,51%
123,East Lansing (MSUHort),6/18/2016 23:55,6/19/2016 7:10,7.3,60,0,None,14.3,50%
124,East Lansing (MSUHort),6/21/2016 1:15,6/21/2016 7:05,5.9,55.4,0,None,16.9,35%
125,East Lansing (MSUHort),6/22/2016 5:45,6/22/2016 6:45,1.1,55.3,0,None,16.9,6%
126,East Lansing (MSUHort),6/23/2016 12:55,6/23/2016 13:25,0.6,68.4,0.01,None,10.8,5%
127,East Lansing (MSUHort),6/24/2016 5:40,6/24/2016 6:40,1.1,52.4,0,None,18.6,6%
128,East Lansing (MSUHort),6/25/2016 0:20,6/25/2016 7:15,7,52.4,0,None,18.6,45%
129,East Lansing (MSUHort),6/26/2016 12:40,6/26/2016 13:00,0.4,79.7,0.01,None,8.8,5%
130,East Lansing (MSUHort),6/26/2016 23:35,6/27/2016 7:00,7.5,68.5,0,None,10.8,70%
131,East Lansing (MSUHort),6/28/2016 21:30,6/29/2016 7:50,10.4,50.2,0,None,19.8,52%
132,East Lansing (MSUHort),6/30/2016 1:25,6/30/2016 7:45,6.4,50.6,0,None,19.8,33%
133,East Lansing (MSUHort),7/1/2016 2:40,7/1/2016 9:20,6.8,57.3,0.41,None,15.8,49%
134,East Lansing (MSUHort),7/1/2016 23:05,7/2/2016 8:50,9.8,49.8,0,None,20.4,49%
135,East Lansing (MSUHort),7/2/2016 23:30,7/3/2016 8:10,8.8,53.6,0,None,18.1,49%
136,East Lansing (MSUHort),7/3/2016 23:35,7/4/2016 7:25,7.9,52.6,0,None,18.6,43%
137,East Lansing (MSUHort),7/5/2016 3:15,7/5/2016 7:30,4.3,64.7,0,None,12.6,35%
138,East Lansing (MSUHort),7/5/2016 23:20,7/6/2016 7:20,8.1,64.8,0,None,12.6,65%
139,East Lansing (MSUHort),7/7/2016 1:45,7/7/2016 7:50,6.2,64.5,0,None,12.6,49%
140,East Lansing (MSUHort),7/7/2016 22:55,7/7/2016 23:20,0.5,73.7,0,None,8.6,6%
141,East Lansing (MSUHort),7/8/2016 3:00,7/8/2016 8:50,5.9,68.1,0,None,10.8,54%
142,East Lansing (MSUHort),7/8/2016 17:10,7/8/2016 17:30,0.4,72.3,0.01,None,9,4%
143,East Lansing (MSUHort),7/10/2016 2:35,7/10/2016 8:10,5.7,58.5,0,None,15.3,37%
144,East Lansing (MSUHort),7/11/2016 3:10,7/11/2016 9:10,6.1,55.1,0,None,16.9,51%
145,East Lansing (MSUHort),7/12/2016 5:25,7/12/2016 7:05,1.8,64.8,0,None,12.6,14%
146,East Lansing (MSUHort),7/12/2016 19:20,7/13/2016 8:45,13.5,71.3,0.82,Low,9.4,141%
147,East Lansing (MSUHort),7/13/2016 17:55,7/13/2016 19:05,1.3,75.4,0.36,None,7.7,16%
148,East Lansing (MSUHort),7/14/2016 3:45,7/14/2016 7:10,3.5,55.8,0,None,16.9,34%
149,East Lansing (MSUHort),7/15/2016 2:55,7/15/2016 7:35,4.8,63.7,0,None,13,37%
150,East Lansing (MSUHort),7/15/2016 11:05,7/15/2016 11:05,0.1,67.8,0,None,11.3,1%
151,East Lansing (MSUHort),7/15/2016 15:35,7/15/2016 20:20,4.8,50.8,0.02,None,19.8,47%
152,East Lansing (MSUHort),7/16/2016 21:35,7/17/2016 7:55,10.4,54.5,0,None,17.5,60%
153,East Lansing (MSUHort),7/19/2016 0:20,7/19/2016 9:15,9,62.8,0,None,13.4,68%
154,East Lansing (MSUHort),7/20/2016 2:45,7/20/2016 8:10,5.5,59.8,0,None,14.8,38%
155,East Lansing (MSUHort),7/21/2016 3:30,7/21/2016 7:45,4.3,66,0,None,11.7,37%
156,East Lansing (MSUHort),7/21/2016 15:00,7/21/2016 17:15,2.3,71.7,0.45,None,9.4,25%
157,East Lansing (MSUHort),7/22/2016 23:55,7/23/2016 8:20,8.5,68.3,0,None,10.8,79%
158,East Lansing (MSUHort),7/24/2016 3:00,7/24/2016 14:35,11.7,71.6,0.8,Low,9.4,125%
159,East Lansing (MSUHort),7/26/2016 0:35,7/26/2016 8:10,7.7,62.6,0,None,13.4,58%
160,East Lansing (MSUHort),7/26/2016 22:40,7/27/2016 8:00,9.4,64.8,0,None,12.6,76%
161,East Lansing (MSUHort),7/27/2016 22:50,7/28/2016 7:45,9,64.4,0,None,12.6,72%
162,East Lansing (MSUHort),7/28/2016 19:30,7/28/2016 20:15,0.8,73.4,0.01,None,8.6,10%
163,East Lansing (MSUHort),7/29/2016 1:45,7/29/2016 2:50,1.2,66.6,0,None,11.7,10%
164,East Lansing (MSUHort),7/30/2016 6:20,7/30/2016 15:50,9.6,54.1,0.9,None,17.5,83%
165,East Lansing (MSUHort),7/31/2016 22:00,8/1/2016 7:50,9.9,63.1,0,None,13,76%
166,East Lansing (MSUHort),8/1/2016 23:00,8/2/2016 8:50,9.9,64.7,0,None,12.6,80%
167,East Lansing (MSUHort),8/2/2016 22:15,8/3/2016 8:20,10.2,66,0,None,11.7,86%
168,East Lansing (MSUHort),8/3/2016 22:20,8/4/2016 7:40,9.4,66.1,0,None,11.7,80%
169,East Lansing (MSUHort),8/5/2016 6:00,8/5/2016 7:05,1.2,69.9,0,None,10.3,12%
170,East Lansing (MSUHort),8/6/2016 4:00,8/6/2016 8:10,4.3,60.1,0,None,14.3,29%
171,East Lansing (MSUHort),8/7/2016 2:25,8/7/2016 3:30,1.2,63,0,None,13,9%
172,East Lansing (MSUHort),8/7/2016 22:30,8/8/2016 8:00,9.6,56.4,0,None,16.4,59%
173,East Lansing (MSUHort),8/8/2016 22:40,8/9/2016 7:50,9.3,57.1,0,None,15.8,58%
174,East Lansing (MSUHort),8/9/2016 23:20,8/10/2016 8:10,8.9,64.4,0,None,12.6,71%
175,East Lansing (MSUHort),8/10/2016 23:40,8/11/2016 9:00,9.4,66,0.01,None,11.7,99%
176,East Lansing (MSUHort),8/12/2016 5:25,8/12/2016 8:55,3.6,59.5,0.03,None,14.8,48%
177,East Lansing (MSUHort),8/12/2016 17:10,8/13/2016 16:00,22.9,66.4,1.39,Moderate,11.7,278%
178,East Lansing (MSUHort),8/14/2016 1:10,8/14/2016 9:35,8.5,67.9,0,None,11.3,77%
179,East Lansing (MSUHort),8/14/2016 21:15,8/15/2016 9:10,12,66.1,0,Low,11.7,102%
180,East Lansing (MSUHort),8/15/2016 16:55,8/15/2016 17:10,0.3,78.2,0,None,8.1,4%
181,East Lansing (MSUHort),8/15/2016 20:10,8/16/2016 11:35,15.5,70.8,2.76,Moderate,9.9,160%
182,East Lansing (MSUHort),8/16/2016 20:50,8/17/2016 8:55,12.2,66.8,0,Low,11.7,107%
183,East Lansing (MSUHort),8/17/2016 13:35,8/17/2016 17:35,4.1,49.7,0.5,None,20.4,45%
184,East Lansing (MSUHort),8/17/2016 22:05,8/18/2016 8:55,10.9,62.1,0,None,13.4,90%
185,East Lansing (MSUHort),8/18/2016 20:55,8/19/2016 8:25,11.6,69,0,Low,10.3,110%
186,East Lansing (MSUHort),8/19/2016 20:40,8/20/2016 8:45,12.2,68.3,0,Low,10.8,112%
187,East Lansing (MSUHort),8/20/2016 14:50,8/20/2016 17:45,3,74.4,0.18,None,8.1,37%
188,East Lansing (MSUHort),8/21/2016 4:05,8/21/2016 7:50,3.8,61.9,0,None,13.9,28%
189,East Lansing (MSUHort),8/21/2016 16:15,8/22/2016 8:35,16.4,52.9,0.21,Low,18.6,114%
190,East Lansing (MSUHort),8/22/2016 21:00,8/23/2016 8:10,11.3,56.5,0,None,16.4,69%
191,East Lansing (MSUHort),8/23/2016 21:05,8/24/2016 8:10,11.2,61.2,0,None,13.9,80%
192,East Lansing (MSUHort),8/24/2016 12:15,8/24/2016 12:50,0.7,74.5,0.12,None,8.1,8%
193,East Lansing (MSUHort),8/24/2016 19:15,8/25/2016 9:50,14.7,72.7,0.07,Moderate,9,167%
194,East Lansing (MSUHort),8/25/2016 14:05,8/25/2016 15:05,1.1,72.6,0.03,None,9,14%
195,East Lansing (MSUHort),8/25/2016 23:20,8/26/2016 9:10,9.9,61.5,0,None,13.9,72%
196,East Lansing (MSUHort),8/26/2016 21:10,8/27/2016 6:50,9.8,64.8,0,None,12.6,79%
197,East Lansing (MSUHort),8/27/2016 9:20,8/27/2016 16:05,6.8,63,0.94,None,13,66%
198,East Lansing (MSUHort),8/27/2016 20:25,8/28/2016 10:00,13.7,71.2,0,Low,9.4,143%
199,East Lansing (MSUHort),8/28/2016 21:25,8/29/2016 9:55,12.6,64.3,0,Low,12.6,100%
200,East Lansing (MSUHort),8/29/2016 20:30,8/30/2016 8:40,12.3,67.2,0,Low,11.3,108%
201,East Lansing (MSUHort),8/30/2016 18:35,8/31/2016 9:35,15.1,70.6,0.16,Moderate,9.9,154%
202,East Lansing (MSUHort),8/31/2016 21:05,9/1/2016 7:55,10.9,60.4,0,None,14.3,76%
203,East Lansing (MSUHort),9/1/2016 21:35,9/2/2016 8:00,10.5,55,0,None,16.9,62%
204,East Lansing (MSUHort),9/2/2016 22:35,9/3/2016 9:20,10.8,52.8,0,None,18.6,59%
205,East Lansing (MSUHort),9/3/2016 20:20,9/4/2016 9:00,12.8,55.3,0,None,16.9,76%
206,East Lansing (MSUHort),9/4/2016 20:25,9/5/2016 8:25,12.1,58.4,0,None,15.3,79%
207,East Lansing (MSUHort),9/5/2016 21:30,9/6/2016 0:55,3.5,69.4,0,None,10.3,34%
208,East Lansing (MSUHort),9/7/2016 2:45,9/7/2016 8:35,5.9,72.9,0,None,9,68%
209,East Lansing (MSUHort),9/7/2016 12:35,9/8/2016 11:20,22.8,57,0.84,Low,15.8,280%
210,East Lansing (MSUHort),9/8/2016 21:25,9/9/2016 12:25,15.1,68,0,Low,10.8,137%
211,East Lansing (MSUHort),9/9/2016 20:30,9/10/2016 16:45,20.3,65.8,0.61,Moderate,12.1,194%
212,East Lansing (MSUHort),9/11/2016 1:00,9/11/2016 8:45,7.8,54.9,0,None,17.5,46%
213,East Lansing (MSUHort),9/11/2016 20:05,9/12/2016 8:20,12.3,52.7,0,None,18.6,67%
214,East Lansing (MSUHort),9/12/2016 20:10,9/13/2016 8:10,12.1,56.5,0,None,16.4,74%
215,East Lansing (MSUHort),9/13/2016 23:35,9/14/2016 5:50,6.3,61.6,0.35,None,13.9,51%
216,East Lansing (MSUHort),9/14/2016 20:15,9/15/2016 8:55,12.8,53.5,0,None,18.1,71%
217,East Lansing (MSUHort),9/15/2016 20:10,9/16/2016 8:15,12.2,53.1,0,None,18.1,67%
218,East Lansing (MSUHort),9/17/2016 4:30,9/17/2016 12:55,8.5,68.3,0.67,None,10.8,78%
219,East Lansing (MSUHort),9/17/2016 20:20,9/18/2016 9:10,12.9,61.7,0,None,13.9,94%
220,East Lansing (MSUHort),9/18/2016 20:20,9/19/2016 9:15,13,56.3,0,None,16.4,80%
221,East Lansing (MSUHort),9/19/2016 21:25,9/19/2016 22:20,1,64.1,0,None,12.6,8%
222,East Lansing (MSUHort),9/20/2016 20:00,9/21/2016 9:20,13.4,52.6,0,None,18.6,73%
223,East Lansing (MSUHort),9/21/2016 11:20,9/21/2016 12:10,0.9,63.8,0.01,None,13,7%
224,East Lansing (MSUHort),9/21/2016 19:40,9/22/2016 9:35,14,60.1,0,None,14.3,97%
225,East Lansing (MSUHort),9/22/2016 21:20,9/23/2016 13:50,16.6,58.5,0,Low,15.3,121%
226,East Lansing (MSUHort),9/25/2016 1:25,9/25/2016 10:55,9.6,50.4,0,None,19.8,49%
227,East Lansing (MSUHort),9/26/2016 5:25,9/26/2016 9:50,4.5,50.9,0.05,None,19.8,29%
228,East Lansing (MSUHort),9/28/2016 2:45,9/28/2016 7:15,4.6,43.7,0,None,27.6,21%
229,East Lansing (MSUHort),9/28/2016 13:10,10/1/2016 12:15,71.2,54.6,1.92,High,17.5,429%
230,East Lansing (MSUHort),10/1/2016 19:00,10/2/2016 11:30,16.6,49.8,0.05,None,20.4,82%
231,East Lansing (MSUHort),10/2/2016 19:25,10/3/2016 10:35,15.3,52.2,0,None,18.6,81%
232,East Lansing (MSUHort),10/3/2016 19:35,10/4/2016 10:35,15.1,50.7,0,None,19.8,77%
233,East Lansing (MSUHort),10/5/2016 3:45,10/5/2016 8:25,4.8,56.1,0,None,16.4,29%
234,East Lansing (MSUHort),10/5/2016 18:40,10/6/2016 10:20,15.8,58.9,0.36,Low,15.3,105%
235,East Lansing (MSUHort),10/6/2016 15:55,10/6/2016 21:25,5.6,65.4,0.4,None,12.1,52%
236,East Lansing (MSUHort),10/7/2016 18:25,10/7/2016 18:25,0.1,67.1,0,None,11.3,1%
237,East Lansing (MSUHort),10/7/2016 22:20,10/7/2016 23:15,1,52,0,None,18.6,5%
238,East Lansing (MSUHort),10/8/2016 3:20,10/8/2016 9:15,6,43.6,0,None,27.6,22%
239,East Lansing (MSUHort),10/8/2016 22:40,10/8/2016 22:50,0.3,42.4,0,None,30,1%
240,East Lansing (MSUHort),10/9/2016 1:25,10/9/2016 9:10,7.8,38,0,None,0,3%
241,East Lansing (MSUHort),10/9/2016 19:40,10/10/2016 9:20,13.8,38.7,0,None,0,15%
242,East Lansing (MSUHort),10/10/2016 19:45,10/11/2016 2:55,7.3,46.8,0,None,22.8,32%
243,East Lansing (MSUHort),10/11/2016 19:20,10/11/2016 19:25,0.2,61.2,0,None,13.9,1%
244,East Lansing (MSUHort),10/12/2016 9:55,10/12/2016 9:55,0.1,56.6,0,None,16.4,1%
245,East Lansing (MSUHort),10/12/2016 18:00,10/13/2016 2:10,8.3,49.1,0.45,None,20.4,49%
246,East Lansing (MSUHort),10/13/2016 19:20,10/14/2016 9:45,14.5,36,0,None,0,7%
247,East Lansing (MSUHort),10/15/2016 0:10,10/15/2016 12:00,11.9,45.8,0,None,23.6,49%
248,East Lansing (MSUHort),10/16/2016 0:50,10/16/2016 1:45,1,65,0,None,12.1,8%
249,East Lansing (MSUHort),10/16/2016 5:05,10/17/2016 9:10,28.2,60.5,0.81,Moderate,14.3,204%
250,East Lansing (MSUHort),10/18/2016 22:40,10/19/2016 9:50,11.3,46.6,0,None,22.8,49%
251,East Lansing (MSUHort),10/19/2016 23:00,10/20/2016 22:10,23.3,47.4,0.1,Low,22,125%
252,East Lansing (MSUHort),10/21/2016 13:35,10/21/2016 14:55,1.4,39.3,0,None,0,7%
